,Oil_store,가격,상표,셀프,주소,구
103,지에스칼텍스(주)남서울주유소,1585.0,GS칼텍스,N,서울 서초구 나루터로 83 (잠원동),서초구
104,경일석유(주)직영 삼방주유소,1597.0,GS칼텍스,N,서울 서초구 사평대로 364 (서초동),서초구
105,크로바주유소,1689.0,SK에너지,N,서울 서초구 효령로 327 (서초동),서초구
106,대신석유㈜서원주유소,1948.0,SK에너지,N,서울 서초구 반포대로 142 (서초동),서초구
107,선우상사Q엔느,1958.0,SK에너지,N,서울 서초구 방배로 66 (방배동),서초구
108,사평로주유소,1959.0,SK에너지,N,서울 서초구 사평대로 350 (서초동),서초구
109,중앙주유소,1978.0,S-OIL,N,서울 서초구 양재동 바우뫼로 219 (양재동),서초구
110,KLP제2주유소,1387.0,현대오일뱅크,Y,서울 성동구 동일로 249 (송정동),성동구
111,(주)서울에너지 직영,1387.0,S-OIL,Y,서울 성동구 천호대로 324 (용답동),성동구
112,지에스칼텍스㈜ 도루코주유소,1407.0,GS칼텍스,Y,서울 성동구 아차산로 180,성동구
113,정호주유소,1438.0,자가상표,N,서울 성동구 고산자로 307 (마장동),성동구
114,아이콘주유소,1498.0,S-OIL,N,서울 성동구 고산자로 273 (도선동),성동구
115,삼우주유소,1499.0,SK에너지,N,서울 성동구 천호대로 392,성동구
116,SK에너지(주) 군자동주유소,1499.0,SK에너지,N,서울 성동구 천호대로 446 (용답동),성동구
117,SK네트웍스(주)효진주유소,1518.0,SK에너지,N,서울 성동구 동일로 129,성동구
118,경진주유소,1538.0,SK에너지,N,서울 성동구 고산자로 348 (마장동),성동구
119,현대오일뱅크 성수주유소,1543.0,현대오일뱅크,N,서울 성동구 뚝섬로 352 (성수동1가),성동구
120,kh에너지(주)성수만세주유소,1543.0,SK에너지,Y,서울 성동구 왕십리로 109,성동구
121,현대오일뱅크(주) 성동현대주유소,1553.0,현대오일뱅크,N,서울 성동구 마장로 311 (마장동),성동구
122,SK세원2주유소,1580.0,SK에너지,N,서울 성동구 광나루로 184 (성수동1가),성동구
123,금호주유소,1740.0,GS칼텍스,N,서울 성동구 금호로 39 (금호동4가),성동구
124,동일주유소,1745.0,현대오일뱅크,N,서울 성동구 광나루로 254 (성수동2가),성동구
125,청계로주유소,1898.0,SK에너지,N,서울 성동구 청계천로 454 (하왕십리동),성동구
126,(주)옥수하이웨이스테이션,1968.0,GS칼텍스,N,서울 성동구 독서당로 168 (옥수동),성동구
127,이케이에너지㈜ 강산주유소,1379.0,GS칼텍스,Y,서울 성북구 보문로 27 (보문동7가),성북구
128,원천주유소,1379.0,알뜰주유소,N,서울 성북구 돌곶이로 142 (장위동),성북구
129,㈜명연에너지 효성주유소,1379.0,GS칼텍스,N,서울 성북구 화랑로 27,성북구
130,장위주유소,1379.0,S-OIL,Y,서울 성북구 화랑로 110 (하월곡동),성북구
131,(주)신용 구도일주유소화랑로,1379.0,S-OIL,Y,서울 성북구 화랑로 174,성북구
132,(주)삼표에너지 정릉주유소,1379.0,GS칼텍스,Y,서울 성북구 보국문로 35 (정릉동),성북구
133,GS칼텍스(주) 종암주유소,1379.0,GS칼텍스,Y,서울 성북구 종암로 145 (종암동),성북구
134,강산제2주유소,1379.0,현대오일뱅크,Y,서울 성북구 보국문로 52,성북구
135,지에스칼텍스㈜ 화랑주유소,1389.0,GS칼텍스,N,서울 성북구 화랑로 185,성북구
136,신방주유소,1392.0,S-OIL,N,서울 성북구 안암로 111 (안암동5가),성북구
137,현대오일뱅크㈜직영 고대셀프주유소,1397.0,현대오일뱅크,Y,서울 성북구 종암로 12 (종암동),성북구
138,중앙에너비스 종암지점,1397.0,SK에너지,Y,서울 성북구 종암로 58,성북구
139,삼선주유소,1398.0,S-OIL,Y,서울 성북구 창경궁로 324,성북구
140,우리주유소,1398.0,SK에너지,Y,서울 성북구 화랑로 292 (석관동),성북구
141,지에스칼텍스㈜ 세창주유소,1409.0,GS칼텍스,Y,서울 성북구 동소문로 323,성북구
142,신동방주유소,1418.0,S-OIL,N,서울 성북구 월계로 84 (장위동),성북구
143,(주)성북주유소,1427.0,현대오일뱅크,N,서울 성북구 보문로 142,성북구
144,장삼주유소,1429.0,SK에너지,Y,서울 성북구 한천로 612 (장위동),성북구
145,광덕,1429.0,SK에너지,Y,서울 성북구 보문로 89 (보문동5가),성북구
146,SK에너지(주) 드림랜드주유소,1432.0,SK에너지,N,서울 성북구  월계로 128 (장위동),성북구
147,재정제2주유소 길음지점,1449.0,현대오일뱅크,N,서울 성북구 삼양로 78 (길음동),성북구
148,동일주유소,1458.0,GS칼텍스,N,서울특별시 성북구  보문로 85 (보문동5가),성북구
149,sk네트웍스(주)아리랑주유소,1479.0,SK에너지,N,서울 성북구 아리랑로 96 (정릉동),성북구
150,sk네트웍스(주) 북악주유소,1503.0,SK에너지,Y,서울 성북구 정릉로 218 (정릉동),성북구
151,위례제일주유소,1484.0,S-OIL,Y,서울 송파구 위례서로 258,송파구
152,남성대주유소,1514.0,SK에너지,Y,서울 송파구 송파대로 52 (장지동),송파구
153,(주)정직한주유소,1521.0,현대오일뱅크,Y,서울 송파구 오금로 455 (거여동),송파구
154,백제고분로주유소,1524.0,SK에너지,Y,서울 송파구 오금로 143 (방이동),송파구
155,방이주유소,1524.0,SK에너지,N,서울특별시 송파구  위례성대로12길 38 (방이동) 방이주유소,송파구
156,삼전셀프주유소,1524.0,SK에너지,Y,서울 송파구 백제고분로 199,송파구
157,(주)유진주유소,1524.0,SK에너지,N,서울 송파구 동남로 325 (오금동),송파구
158,삼정주유소,1524.0,GS칼텍스,Y,서울 송파구 백제고분로 252 (삼전동),송파구
159,아시아주유소,1524.0,GS칼텍스,Y,서울 송파구 도곡로 438 (잠실동),송파구
160,현대오일뱅크㈜직영 잠실셀프주유소,1524.0,현대오일뱅크,Y,서울 송파구 송파대로 397 (석촌동),송파구
161,(주)잠실에너지,1524.0,S-OIL,Y,서울 송파구 송파대로 442 (송파동),송파구
162,상아주유소,1524.0,현대오일뱅크,Y,서울 송파구 거마로 82 (마천동),송파구
163,삼화주유소,1524.0,GS칼텍스,Y,서울 송파구 백제고분로 125,송파구
164,지에스이앤알 직영 송파제일주유소,1524.0,현대오일뱅크,Y,서울 송파구 삼학사로 50 (석촌동),송파구
165,송파알찬주유소,1524.0,S-OIL,N,서울 송파구 백제고분로 229 (삼전동),송파구
166,SKN(주) 송파셀프직영주유소,1525.0,SK에너지,Y,서울 송파구 거마로 5 (거여동),송파구
167,완불주유소,1525.0,SK에너지,Y,서울 송파구 송파대로 3 (장지동),송파구
168,(주)퍼스트오일서울주유소,1528.0,S-OIL,N,서울 송파구 문정로 153 (가락동),송파구
169,대성석유(주)석촌주유소,1528.0,GS칼텍스,N,서울 송파구 백제고분로 289,송파구
170,(주)삼표에너지 훼미리주유소,1528.0,GS칼텍스,N,서울 송파구 중대로 58 (문정동),송파구
171,(주)신화에너지 서울지점,1529.0,SK에너지,Y,서울 송파구 가락로 47 (석촌동),송파구
172,한강에너지(주)퍼스트주유소,1529.0,SK에너지,Y,서울 송파구 삼학사로 22 (석촌동),송파구
173,(주)뉴명성산업 남성주유소,1529.0,현대오일뱅크,N,서울 송파구 백제고분로 474 (방이동),송파구
174,송파주유소,1537.0,GS칼텍스,Y,서울 송파구 송이로 28 (송파동),송파구
175,대성주유소,1538.0,SK에너지,N,서울 송파구 마천로 230 (마천동),송파구
176,지에스칼텍스(주)우리주유소,1539.0,GS칼텍스,N,서울 송파구 동남로 153,송파구
177,(주)남경석유 세영주유소,1539.0,GS칼텍스,N,서울 송파구 동남로 298,송파구
178,제트라인DM주유소,1539.0,현대오일뱅크,N,서울 송파구 중대로 183 (가락동),송파구
179,지에스칼텍스(주)스마트위례주유소,1545.0,GS칼텍스,Y,서울 송파구 위례중앙로 43 (장지동),송파구
180,올림픽셀프,1545.0,SK에너지,Y,서울 송파구 위례성대로 188 (오금동),송파구
181,지에스칼텍스(주)가든파이브주유소,1545.0,GS칼텍스,Y,서울 송파구 탄천동로 740 (가든파이브주유소),송파구
182,서원주유소,1619.0,SK에너지,N,서울 송파구 중대로 154 (가락동),송파구
183,대신석유(주)진양주유소,1669.0,SK에너지,N,서울 송파구 올림픽로 499 (풍납동),송파구
184,가로공원주유소,1377.0,SK에너지,N,서울 양천구 가로공원로 165 (신월동),양천구
185,현대주유소,1377.0,S-OIL,Y,서울 양천구 남부순환로 372 (신월동),양천구
186,형산석유(주)원주유소,1377.0,현대오일뱅크,N,서울 양천구 남부순환로 408,양천구
187,개나리Self주유소,1387.0,SK에너지,Y,서울 양천구 남부순환로 442 (신월동),양천구
188,양천구주유소,1388.0,알뜰주유소,Y,서울 양천구 국회대로 275 (목동),양천구
189,지에스칼텍스㈜ 서호주유소,1397.0,GS칼텍스,Y,서울 양천구 남부순환로 317,양천구
190,신월주유소,1398.0,GS칼텍스,Y,서울 양천구 신월로 193 (신월동),양천구
191,SK네트웍스 신월남부,1419.0,SK에너지,Y,서울 양천구 남부순환로 553 (신월동),양천구
192,(주)블루에너지,1426.0,SK에너지,Y,서울 양천구 중앙로 226 (신정동),양천구
193,지에스이앤알 직영 서울주유소,1426.0,GS칼텍스,N,서울 양천구 신정로 236 (신정동),양천구
194,목동주유소,1438.0,SK에너지,Y,서울 양천구 목동중앙로 125 (목동),양천구
195,지에스칼텍스㈜ 건지주유소,1455.0,GS칼텍스,Y,서울 양천구 안양천로 1171 (목동),양천구
196,(주)삼표에너지 목동주유소,1455.0,GS칼텍스,N,서울 양천구 목동서로 129 (목동),양천구
197,신정동주유소,1455.0,현대오일뱅크,Y,서울 양천구 안양천로 663 (신정동),양천구
198,현대오일뱅크㈜직영 목동셀프주유소,1457.0,현대오일뱅크,Y,서울 양천구 공항대로 648 (목동),양천구
199,현대오일뱅크(주)직영 양천셀프주유소,1465.0,현대오일뱅크,Y,서울 양천구 목동로 17 (신정동),양천구
200,SK네트웍스 신목동셀프주유소,1469.0,SK에너지,N,서울 양천구 목동동로10길 13,양천구
201,(주)서부트럭터미날,1479.0,현대오일뱅크,N,서울 양천구 신정로 167 (신정동),양천구
202,대농self주유소,1496.0,SK에너지,Y,서울 양천구 중앙로 331 (신월동),양천구
203,SK에너지(주) 신평,1499.0,SK에너지,N,서울 양천구 목동남로 62 (신정동),양천구
204,SK에너지(주) 경인주유소,1499.0,SK에너지,Y,서울 양천구 국회대로 170 (신정동),양천구
205,양정주유소,1523.0,현대오일뱅크,N,서울 양천구 국회대로 158 (신정동),양천구
206,SK네트웍스(주) SKOK주유소,1555.0,SK에너지,N,서울 양천구 안양천로 1179 (목동),양천구
207,신양주유소,1599.0,SK에너지,N,서울 양천구 지양로 67,양천구
208,SK네트웍스(주)코리아주유소,1679.0,SK에너지,N,서울 양천구 신목로7길 1 (신정동),양천구
209,평화주유소,1857.0,SK에너지,N,서울 양천구 안양천로 657 (신정동),양천구
210,(주)대청에너지 대청주유소,1359.0,GS칼텍스,N,서울 영등포구 가마산로 328 (대림동),영등포구
211,(주)강서오일,1359.0,현대오일뱅크,N,서울 영등포구 도신로 151,영등포구
212,남서울고속주유소,1379.0,SK에너지,Y,서울 영등포구 가마산로 367 (대림동),영등포구
213,행촌주유소,1379.0,SK에너지,N,서울 영등포구 도신로 130 (신길동),영등포구
214,도림주유소,1379.0,알뜰주유소,Y,서울 영등포구 도림로 343 (도림동),영등포구
215,매봉주유소,1379.0,현대오일뱅크,Y,서울 영등포구 도신로 248 (신길동),영등포구
216,성락주유소,1379.0,S-OIL,Y,서울 영등포구 가마산로 414 (신길동),영등포구
217,SK네트윅스(주)윈윈주유소,1379.0,SK에너지,Y,서울 영등포구 가마산로 379,영등포구
218,남부(영등포),1379.0,SK에너지,Y,서울 영등포구 경인로 822 (영등포동),영등포구
219,(주)MS주유소,1379.0,현대오일뱅크,N,서울 영등포구 대림로 230,영등포구
220,지에스칼텍스㈜ 신길주유소,1409.0,GS칼텍스,Y,서울 영등포구 신길로 74 (신길동),영등포구
221,㈜지에스이앤알 모드니주유소,1409.0,GS칼텍스,N,서울 영등포구 경인로 789,영등포구
222,보라주유소,1419.0,GS칼텍스,N,서울 영등포구 영등포로 399 (신길동),영등포구
223,지에스칼텍스㈜ 화일주유소,1419.0,GS칼텍스,Y,서울 영등포구 도림로 415,영등포구
224,한경석유(주)경덕주유소,1438.0,SK에너지,Y,서울 영등포구 여의대방로23길 2 (신길동),영등포구
225,SK에너지(주) 신길동주유소,1439.0,SK에너지,N,서울 영등포구 영등포로 348 (신길동),영등포구
226,씨앤에스유통 한성주유소,1448.0,S-OIL,N,서울 영등포구 여의대방로 227,영등포구
227,(주)한미석유 제2한강주유소,1468.0,GS칼텍스,Y,서울 영등포구 선유로 260 (양평동4가),영등포구
228,SK네트웍스(주)직영기린주유소,1469.0,SK에너지,Y,서울 영등포구 선유로 270,영등포구
229,SK에너지(주) 양평주유소,1469.0,SK에너지,Y,서울 영등포구 선유로 195 (양평동3가),영등포구
230,현대오일뱅크㈜직영 대일셀프주유소,1469.0,현대오일뱅크,Y,서울 영등포구 영등포로 168,영등포구
231,선유도주유소,1489.0,S-OIL,Y,서울 영등포구 양평로 141 (양평동5가),영등포구
232,SK네트웍스(주) 영등포행복SELF주유소,1499.0,SK에너지,Y,서울 영등포구 선유로 114(양평동1가),영등포구
233,대영주유소,1659.0,GS칼텍스,Y,서울 영등포구 국회대로 632 (영등포동7가),영등포구
234,sk여명주유소,1697.0,SK에너지,N,서울 영등포구 국회대로62길 7 (여의도동),영등포구
235,한일주유소,1840.0,SK에너지,N,서울 영등포구 도림로 486 (문래동3가),영등포구
236,성원이앤에스(주)영등포지점,1873.0,GS칼텍스,N,서울 영등포구 국회대로52길 9-13 (영등포동7가),영등포구
237,버드나룻길주유소,1940.0,SK에너지,N,서울 영등포구 버드나루로 111 (당산동),영등포구
238,KH여의도주유소,1949.0,SK에너지,N,서울 영등포구 국회대로 794 (여의도동),영등포구
239,SK네트웍스㈜직영 여의도주유소,1955.0,SK에너지,N,서울 영등포구 의사당대로 154 (여의도동),영등포구
240,SJ오일(주) 여의도주유소,1973.0,GS칼텍스,N,서울 영등포구 은행로 64,영등포구
241,지에스칼텍스(주) 국회대로주유소,1976.0,GS칼텍스,N,서울 영등포구 국회대로 746 (여의도동),영등포구
242,북서울고속주유소,1379.0,S-OIL,Y,서울 강북구 삼양로 410 (수유동),강북구
243,(주)석산에너지,1379.0,현대오일뱅크,Y,서울 강북구 삼양로 316 (수유동),강북구
244,수유동주유소,1379.0,GS칼텍스,Y,서울 강북구  도봉로 395 (수유동),강북구
245,SK네트웍스(주) 새한주유소,1409.0,SK에너지,Y,서울 강북구 도봉로 75,강북구
246,㈜지에스이앤알 미아주유소,1424.0,GS칼텍스,Y,서울 강북구 도봉로 122 (미아동),강북구
247,에덴주유소,1427.0,SK에너지,Y,서울 강북구 월계로 195 (번동),강북구
248,(주)에프알엔디 직영 송정주유소,1428.0,SK에너지,N,서울 강북구 인수봉로 185 (수유동),강북구
249,대성석유(주)신광주유소,1429.0,GS칼텍스,N,서울 강북구 삼양로 484,강북구
250,세원주유소,1429.0,SK에너지,Y,서울 강북구 한천로 918 (번동),강북구
251,SK매일주유소,1429.0,SK에너지,Y,서울 강북구 삼양로 217 (미아동),강북구
252,현대오일뱅크(주)직영 미아셀프주유소,1449.0,현대오일뱅크,Y,서울 강북구 도봉로 200 (미아동),강북구
253,태창에너지 좋은기름주유소,1449.0,S-OIL,N,서울 강북구 덕릉로 158 (번동),강북구
254,현대오일뱅크(주)직영 번동셀프주유소,1449.0,현대오일뱅크,Y,서울 강북구 한천로 963 (번동),강북구
255,(주)한독모터스용산뉴타운주유소,1598.0,GS칼텍스,N,서울 용산구 한강대로 48 (한강로3가),용산구
256,강변주유소,1739.0,SK에너지,N,서울 용산구 원효로 9 (청암동),용산구
257,한석주유소,1797.0,SK에너지,N,서울 용산구 이촌로 164,용산구
258,(주)영원 풍기주유소,1934.0,GS칼텍스,N,서울 용산구 원효로 178 (원효로2가),용산구
259,(주)신태성주유소,1947.0,SK에너지,N,서울 용산구 원효로 147 (원효로3가),용산구
260,(주)남경주유소,1979.0,SK에너지,N,서울 용산구 녹사평대로11길 24,용산구
261,현대오일뱅크(주)직영 소월길주유소,1998.0,현대오일뱅크,N,서울 용산구 소월로 66 (후암동),용산구
262,흥국주유소,1999.0,SK에너지,N,서울 용산구 한남대로 204 (한남동),용산구
263,갈월동주유소,1999.0,SK에너지,N,서울 용산구 한강대로 322 (갈월동),용산구
264,수림석유 제3한강주유소,2018.0,GS칼텍스,N,서울 용산구 한남대로 45 (한남동),용산구
265,서계주유소,2059.0,GS칼텍스,N,서울 용산구 청파로 367 (서계동),용산구
266,동자동주유소,2090.0,SK에너지,N,서울 용산구 한강대로104길 6 (동자동),용산구
267,한남지점,2178.0,SK에너지,N,서울 용산구 한남대로21길 4 (한남동),용산구
268,에너비스,2178.0,SK에너지,N,서울 용산구 한남대로 82 (한남동),용산구
269,타이거주유소,1363.0,SK에너지,Y,서울 은평구 수색로 188 (증산동),은평구
270,(주)명연에너지 수색훼미리주유소,1363.0,현대오일뱅크,Y,서울 은평구 수색로 236 (수색동),은평구
